Başlık,Context
Ders programımı nereden görebilirim?,Ders programınızı öğrenci bilgi sisteminden görebilirsiniz.
Kütüphane saatleri nedir?,"Kütüphane hafta içi 08:00-22:00, hafta sonu 10:00-18:00 saatleri arasında açıktır."
Burs başvurusu nasıl yapılır?,Burs başvuruları öğrenci işleri web sitesinden yapılmaktadır.
Final sınav tarihleri ne zaman açıklanır?,Final sınav tarihleri akademik takvimde belirtilmiştir.
Öğrenci kulüplerine nasıl katılabilirim?,Öğrenci kulüplerine başvurular kulüp stantlarında veya web sitesi üzerinden yapılabilir.
Öğrenci yemekhanesi menüsü nerede?,Yemekhane menüsüne üniversitenin resmi web sitesinden ulaşabilirsiniz.
Transkriptimi nasıl alabilirim?,Transkript belgenizi öğrenci işlerinden veya online sistemden temin edebilirsiniz.
Mezuniyet şartları nelerdir?,Mezuniyet için gerekli kredi ve zorunlu dersleri tamamlamanız gerekmektedir.
Ders kaydı nasıl yapılır?,Ders kayıtları öğrenci bilgi sistemi üzerinden belirtilen tarihlerde yapılmaktadır.
Yaz okulu başvuruları ne zaman?,Yaz okulu başvuruları bahar dönemi sonunda duyurulmaktadır.
Ders programımı nereden görebilirim?,Ders programınızı öğrenci bilgi sisteminden görebilirsiniz.
Kütüphane saatleri nedir?,"Kütüphane hafta içi 08:00-22:00, hafta sonu 10:00-18:00 saatleri arasında açıktır."
Burs başvurusu nasıl yapılır?,Burs başvuruları öğrenci işleri web sitesinden yapılmaktadır.
Final sınav tarihleri ne zaman açıklanır?,Final sınav tarihleri akademik takvimde belirtilmiştir.
Öğrenci kulüplerine nasıl katılabilirim?,Öğrenci kulüplerine başvurular kulüp stantlarında veya web sitesi üzerinden yapılabilir.
Öğrenci yemekhanesi menüsü nerede?,Yemekhane menüsüne üniversitenin resmi web sitesinden ulaşabilirsiniz.
Transkriptimi nasıl alabilirim?,Transkript belgenizi öğrenci işlerinden veya online sistemden temin edebilirsiniz.
Mezuniyet şartları nelerdir?,Mezuniyet için gerekli kredi ve zorunlu dersleri tamamlamanız gerekmektedir.
Ders kaydı nasıl yapılır?,Ders kayıtları öğrenci bilgi sistemi üzerinden belirtilen tarihlerde yapılmaktadır.
Yaz okulu başvuruları ne zaman?,Yaz okulu başvuruları bahar dönemi sonunda duyurulmaktadır.
Ders programımı nereden görebilirim?,Ders programınızı öğrenci bilgi sisteminden görebilirsiniz.
